year,date,precip_mm
2000,2000-06-01 00:00:00,219.0
2001,2001-06-01 00:00:00,137.0
2002,2002-06-01 00:00:00,94.0
2003,2003-06-01 00:00:00,53.0
2004,2004-06-01 00:00:00,100.0
2005,2005-06-01 00:00:00,42.0
2006,2006-06-01 00:00:00,58.0
2007,2007-06-01 00:00:00,122.0
2008,2008-06-01 00:00:00,278.0
2009,2009-06-01 00:00:00,106.0
2010,2010-06-01 00:00:00,213.0
2011,2011-06-01 00:00:00,90.0
2012,2012-06-01 00:00:00,8.0
2013,2013-06-01 00:00:00,276.0
2014,2014-06-01 00:00:00,243.0
2015,2015-06-01 00:00:00,80.1
2016,2016-06-01 00:00:00,135.9
2017,2017-06-01 00:00:00,171.1
2018,2018-06-01 00:00:00,144.1
2019,2019-06-01 00:00:00,131.0
2020,2020-06-01 00:00:00,129.0
2021,2021-06-01 00:00:00,65.9
2022,2022-06-01 00:00:00,84.5
2023,2023-06-01 00:00:00,43.9
2024,2024-06-01 00:00:00,156.0
