taxa_name,desired_end_date,days_in_window,total_precip_30d,mean_precip_30d,max_precip_30d,zero_rain_days_30d,latitude,longitude,year,zscore_total_precip,zscore_mean_precip,zscore_zero_days,extreme_total_precip,extreme_mean_precip,extreme_zero_days
A_aliena,2024-05-26,31,418.0679999999999,13.48606451612903,49.441999999999986,9,-30.1288,-52.0483,2024,3.7503361608698804,3.75033616086988,-2.2067719909772356,True,True,False
A_crassa,2021-12-31,28,41.2,1.4714285714285715,12.9,18,-39.1644,-66.1458,2021,3.2732597850982663,0.4690136714005625,0.5492716287305682,True,False,False
A_griseofarinosa,2020-07-30,31,649.62,20.955483870967743,61.15999999999999,1,35.0178,135.8552,2020,3.6546252567513084,3.654625256751309,-1.658241509859655,True,True,False
A_griseoverrucosa,2022-06-17,31,875.276,28.234709677419353,72.238,2,26.1548,117.382,2022,3.5904521675778147,3.5904521675778147,-1.1129977740066779,True,True,False
A_lippiae,2022-07-03,31,223.54399999999987,7.211096774193544,24.635999999999967,1,-8.592,-37.2471,2022,4.132729986793424,4.132729986793424,-1.7954219397738895,True,True,False
A_madagascariensis,2013-02-21,31,903.3,29.138709677419353,71.3,0,-19.5742,48.7032,2013,3.056059199269838,3.056059199269838,-1.2195705986919858,True,True,False
A_masasiensis,2001-01-29,29,354.32,12.217931034482758,28.05999999999999,1,-10.44564,38.481584,2001,3.0013067220043657,1.9531246778999622,-0.5109001225855497,True,False,False
A_millsii,2013-12-01,31,171.6,5.535483870967742,23.3,11,-42.1306,148.3123,2013,3.1044684199740478,3.1044684199740478,-0.9312146773814196,True,True,False
A_ochrophylla,2022-03-22,30,461.0559999999994,15.368533333333314,69.3519999999998,4,-27.4705,153.026,2022,3.6622968916602776,3.682267981664872,-1.1528858263692967,True,True,False
A_odorata,2000-12-31,15,58.911999999999985,3.9274666666666658,10.355999999999995,2,2.1701,21.4872,2000,3.253510761912049,3.3613482540402693,-1.4565070557783124,True,True,False
A_parva,2017-06-21,31,295.46799999999996,9.531225806451612,38.083999999999975,4,29.652,-82.325,2017,3.003048874771434,3.003048874771435,-1.2084142090617154,True,True,False
A_ravenelii,2018-08-13,31,349.3639999999999,11.2698064516129,43.91599999999998,5,39.0993,-76.8483,2018,3.0682179890017274,3.0682179890017274,-1.6001713541144778,True,True,False
A_vernicoccora,2005-05-21,31,253.51199999999994,8.177806451612902,32.60599999999997,8,38.7426,-120.4358,2005,3.15063459779584,3.1506345977958397,-2.091743150604225,True,True,False
A_virginioides,2021-08-30,31,426.9639999999999,13.773032258064513,70.58199999999994,3,35.0178,135.8552,2021,3.0308322913352366,3.0308322913352366,-1.7829130853093884,True,True,False
A_viridissima,2021-12-31,22,279.71999999999997,12.714545454545453,47.31999999999998,0,-12.881003,-41.373129,2021,3.0051688589400793,2.088816622169726,-1.2265798912948744,True,False,False
